areaName,Borough,areaType,2010-01,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06,2019-07,2019-08,2019-09,2019-10,2019-11,2019-12,2020-01,2020-02,2020-03,2020-04,2020-05,2020-06,2020-07,2020-08,2020-09,2020-10,2020-11,2020-12,2021-01,2021-02,2021-03,2021-04,2021-05,2021-06,2021-07,2021-08,2021-09,2021-10,2021-11,2021-12,2022-01,2022-02,2022-03,2022-04,2022-05,2022-06,2022-07,2022-08,2022-09,2022-10,2022-11,2022-12,2023-01,2023-02,2023-03,2023-04,2023-05,2023-06,2023-07,2023-08,2023-09,2023-10,2023-11,2023-12,2024-01,2024-02,2024-03,2024-04,2024-05,2024-06,2024-07,2024-08,2024-09,2024-10,2024-11,2024-12,2025-01,2025-02
St. Albans,Queens,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1800,,1550,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1950,,,,,,,,,2200,2500,,,2400,1925,,,1550,1700,2450,,,2950,,,,,3200,,,,,2575,2650,,,,,,
Staten Island,Staten Island,borough,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1400,1400,1400,1375,1500,1770,2095,1968,1968,2095,1995,1325,1325,1325,1650,2100,1175,1175,1325,1400,1475,1775,1700,1700,1650,1650,1795,1650,1600,1800,1700,1600,1650,1500,1500,1500,1650,1750,1900,1848,1675,1823,1885,1950,1900,1975,2000,2050,2075,2075,2000,2000,1960,1900,1980,1950,1900,1900,1918,2000,2033,1950,1950,1790,1875,1900,1925,1800,1842,1800,1825,1829,1894,1950,2000,2000,1865,1959,1865,1853,1850,1890,1875,2050,2050,2000,2045,2200,2200,2200,2000,1952,1998,2123,1831,1833,1900,1900,1850,1863,1950,1995,2150,1950,1900,1873,2000,1950,1849,1849,2000,2025,2125,2000,2060,2050,1932,1914,1950,1950,1950,2025,2100,2250,2200,2100,2050,2095,2175,2200,2200,2000,2000,1899,2000,2050,2050,2225,2250,2548,2500,2500,2513,2700,2600,2625,2700,2850,2750,2700,2397,2450,2750
Stuyvesant Town/PCV,Manhattan,neighborhood,,,,,,2903,,,,,,,,,,,,,,,,,3963,3574,3817,3555,3455,3705,3443,3516,3615,3760,3700,3650,3825,3850,3900,3808,3458,2965,2965,2965,,,,4190,4190,3299,3317,3644,3652,3851,3770,3567,3629,3603,3551,3421,3286,3525,3500,3637,4081,4215,3701,3553,3682,3717,3712,3744,3776,3724,3926,3969,4292,4197,4019,4022,4391,4271,4157,4167,3991,3879,4049,3915,4040,4112,4106,4222,4182,4266,4435,4620,4475,4710,4157,4191,3804,3833,3818,3807,3822,3966,3769,4052,3741,3774,4127,3690,3655,3887,3910,3792,3881,3881,3885,3880,3885,3753,3892,4139,3908,3980,3945,3910,3902,3786,3770,3885,3785,3872,4235,3698,3677,3688,3565,3650,3982,4014,4187,4469,4644,4603,4854,4824,5161,5202,5355,5314,5174,4760,4695,4705,4895,5100,5100,5133,4952,5262,5488,6052,5265,5858,5596,5477,5214,5380,5452,5247,5399,5498,5586,5037,5350,4980,5155,5046,5070,5277,5373,5364
Sunnyside,Queens,neighborhood,1550,1475,1500,1550,1450,1400,1400,1460,1475,1460,1445,1445,1450,1445,1463,1543,1463,1550,1563,1650,1573,1500,1600,1625,1650,1650,1650,1650,1650,1725,1663,1650,1500,1550,1550,1623,1575,1595,1600,1650,1675,1800,1700,1700,1775,1700,1700,1750,1750,1800,1850,1843,1850,1875,1850,1800,1800,1850,1850,1899,1875,1850,1800,1895,1950,1950,2000,2000,2000,2099,2000,2025,2025,2000,2000,2000,1950,1950,1975,2025,2050,2005,2000,1995,2000,1970,1950,1950,2000,2000,2000,2000,1975,2000,1950,2000,1950,1950,1995,2000,2000,2000,1999,2000,2000,1925,1958,1950,1950,1938,1975,1995,1950,1950,1995,2050,2066,2100,2050,2063,2000,2000,2100,2100,2100,2000,2000,2000,1995,1900,1820,1825,1850,1795,1800,1800,1800,1800,1900,1950,1950,2050,2000,2038,2100,2150,2100,2063,2300,2150,2300,2350,2250,2250,2200,2375,2200,2305,2400,2300,2400,2450,2400,2673,2700,2450,2495,2500,2350,2400,2450,2500,2695,2720,2800,2552,2500,2500,2450,2500,2575,2559
Sunset Park,Brooklyn,neighborhood,1500,1500,1400,1400,1425,1450,1400,1425,1375,1488,1338,1288,1075,1500,1650,1500,1350,1425,1400,1400,,,,1550,,,1525,,,1598,1648,1850,1850,1750,1700,1700,1600,1450,1750,1675,1800,1850,1900,1843,1900,1850,1600,1725,1500,1500,1700,1800,1850,1850,1875,1850,1850,1850,1900,1900,1850,1863,1875,1973,2000,2000,1995,1888,1900,1960,1850,2000,2000,1998,1995,2000,2000,2200,2000,2000,2000,2000,2000,1960,1960,1950,2000,2000,2025,2100,2195,2025,2050,2000,2000,2000,1999,2000,1999,1990,2154,2200,2200,2000,2000,1995,2000,1950,1985,1900,2000,2000,2125,2150,2195,2110,2000,2099,2100,2100,2100,2100,2100,2062,2050,2000,2099,2016,1950,1900,1900,1900,1850,1800,1848,1850,2000,1950,2000,1997,2000,2000,1999,2000,2000,2013,2100,2300,2400,2463,2400,2400,2325,2400,2390,2200,2275,2500,2500,2450,2450,2400,2500,2485,2450,2400,2400,2500,2500,2500,2495,2400,2400,2400,2625,2554,2500,2600,2600,2450,2688,2599
The Rockaways,Queens,submarket,,,,,,,,,,1650,1650,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1450,1282,1399,1399,1350,1300,1350,1475,1350,1350,1399,1387,1425,1540,1399,1550,1563,1475,1530,1550,1450,1488,1590,1550,1488,1550,1500,1450,1625,1449,1413,1462,1450,1500,1950,1850,1850,1900,1900,1900,1900,1875,1800,1825,1775,1625,1737,1897,1825,1725,1763,1750,1900,1848,2123,1799,2300,2300,1975,1913,2088,1890,1890,1900,2035,2000,1900,1900,1850,1997,1895,2050,2000,2033,1950,1975,1995,1999,1884,1800,1800,1800,1997,1800,1912,1912,1865,1900,1900,2075,1860,1862,1749,1900,2017,2050,2000,2200,2209,2200,2149,1999,1999,2200,2250,2425,2425,2475,2250,2500,2475,2575,2450,2374,2450,2554,2450,2450,2450,2450,2395,2348,2500,2600,2560,2599,2584,2450,2450,2800,2600,2600,2574,2512,2591,2500,2599,2500,2200,2549
Throgs Neck,Bronx,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1975,,2200,2375,,2199,1900,1800,1900,1850,1900,,,,1325,1545,,,1788,,1775,,,1800,,,1750,2000,1950,1763,2150,1950,1850,1800,2100,1875,1850,,,2499,2400,2400,2200,2150,2150,2150,1600,1788,,2000,2000,1950,1975,,1950,2150,2250,2399,,,,,,2300,,,,,,,,2373,2475,2150,2200,2225,2250,2250,2300,2300,3000,2300,2100,2200,2200,2298,,,2837,2798,2713,,2650,2400,2500,2300,2500,2675,2450,2150,,,,2500,2500,2500,2400,,2473,,,,,,,,2600,2700,2600,2500
Tremont,Bronx,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1300,1325,1350,1288,1350,,1350,1575,1475,1550,1775,1750,1313,1300,1350,1363,1598,1550,1425,1485,1498,1675,1675,1699,1568,1500,1547,1350,1350,1350,1375,1525,1625,1600,1749,1725,1700,1700,1700,1600,1700,1800,1800,1475,1800,1825,1538,1849,1950,1800,1750,1700,1650,1675,1600,1650,1650,1650,1799,1799,1799,1610,1550,,1912,,1924,1696,1649,1738,1676,1650,1625,1725,1649,1649,1550,1550,1638,1638,1495,1600,1795,1744,1763,1795,1767,1719,1650,2099,1995,1710,1800,1750,1895,1773,1750,1750,1738,1725,1850,1895,1873,1895,2455,2499,1998,2350,1961,1931,1895,2150,2270,1825,1950,1798,1795,2150,2599,2418,2350,,2999,2350,2350,1883
Tribeca,Manhattan,neighborhood,6925,6800,6500,6500,6500,6500,6000,4995,5575,5773,5950,6000,6900,6900,6500,6425,6500,6595,6750,6750,7000,6395,6750,7000,8225,8225,6498,6700,7375,7323,7995,6995,6995,7000,7000,6995,7148,6698,6195,6798,7195,7000,7000,6500,6345,5750,5998,6000,5895,5548,5700,5923,6295,6500,6195,6695,6495,6895,6445,6500,6098,7500,7295,6495,6998,7085,6750,6595,6600,6495,6250,5995,6195,6788,6850,7298,7995,8200,8000,7895,8000,8000,7950,8000,8000,7800,8000,7998,7695,7548,8395,6195,5995,5998,5995,6650,6640,6595,6871,7000,6598,6998,6995,7243,7286,6964,7000,6850,6694,6000,6300,6400,6500,6595,7100,6700,7600,7700,7450,7500,7098,7095,6800,6412,6798,7100,6995,6995,6798,6913,6784,6800,6450,5875,5499,5712,5995,6448,6500,6700,8000,7550,7495,8248,7400,7200,7295,7525,8248,8500,9000,9500,9448,10000,10200,9300,8290,8158,7997,7700,7800,8500,8753,9200,9495,9000,9625,8301,8498,7900,8000,7999,9095,9995,10498,9830,10000,10000,9898,9000,7900,7410
University Heights,Bronx,neighborhood,1100,1100,,,,,,,,,,,,,,,,,1125,,1113,1125,1100,,,1138,1113,1125,1225,,,1175,1150,1113,1199,1199,1175,1188,1200,1168,1150,1199,1155,1200,1225,1210,1150,1163,1192,1300,1300,1300,1275,1245,1288,1350,1399,1400,1298,1295,1300,1250,1288,1300,1375,1355,1335,1300,1350,1350,1350,1325,1350,1388,1400,1358,1400,1575,1562,1450,1550,1637,1423,1450,1575,1650,1663,1675,1495,1550,1500,1550,1598,1575,1600,1560,1638,1500,1648,1649,1698,1750,1875,1750,1697,1693,1649,1645,1599,1750,1800,1800,1800,1850,1650,1650,1799,1799,1700,1699,1750,1774,1799,1649,1649,1650,1650,1650,1675,1799,1699,1700,1696,1699,1772,1749,1899,1899,1700,1849,1799,1825,1795,1875,1767,1660,1750,1849,1825,1800,1950,1949,1700,1818,1937,1900,1986,2173,2200,2172,1999,2175,2210,2200,2000,2050,2225,1948,2055,1963,1900,1835,2000,1999,2400,2500,2250,2000,1905,1848,2013,1850
Upper East Side,Manhattan,neighborhood,2450,2450,2400,2500,2565,2570,2595,2500,2583,2550,2500,2550,2500,2500,2450,2500,2600,2695,2650,2695,2795,2800,2800,2800,2700,2700,2695,2695,2695,2750,2700,2743,2850,2795,2850,2850,2795,2800,2795,2750,2750,2750,2749,2800,2895,2850,2800,2800,2700,2795,2700,2700,2700,2700,2700,2700,2750,2750,2800,2845,2850,2900,2895,2870,2950,2995,2950,2995,3025,2999,2900,2953,2995,2975,3000,3000,3000,2995,2975,2906,2950,2950,2975,3000,2995,2995,2927,2950,2950,2950,2950,2900,2995,2950,2995,2990,2900,2895,2850,2850,2850,2900,2915,2900,2895,2995,2995,3000,3000,3000,2995,2995,3000,3050,3050,2995,3000,3100,3208,3295,3275,3250,3250,3150,3058,2950,2800,2700,2650,2500,2495,2500,2450,2475,2400,2400,2475,2500,2550,2700,2850,2950,3200,3393,3450,3550,3400,3400,3500,3500,3550,3750,3750,3800,3848,3827,3900,4000,4000,3995,4000,4000,4000,3995,4000,3995,4000,3950,3950,3995,3950,3900,3948,3900,3950,3900,3900,3900,3950,3941,3950,3995
Upper West Side,Manhattan,neighborhood,2895,2800,2750,2800,2800,2795,2800,2895,2995,3050,3000,2995,2995,3000,2950,3000,3000,3100,3100,3200,3250,3342,3386,3495,3300,3200,3047,3150,3200,3200,3250,3300,3300,3350,3350,3300,3200,3250,3200,3200,3250,3150,3199,3250,3275,3300,3200,3230,3200,3195,3200,3293,3299,3275,3200,3200,3295,3300,3275,3250,3285,3300,3260,3300,3350,3395,3400,3495,3550,3500,3500,3495,3424,3415,3425,3450,3475,3428,3461,3400,3450,3420,3395,3345,3299,3300,3265,3295,3300,3350,3350,3375,3354,3389,3319,3344,3350,3290,3250,3290,3300,3350,3319,3313,3395,3395,3350,3398,3395,3350,3395,3453,3483,3450,3400,3500,3602,3600,3650,3570,3650,3589,3543,3419,3300,3200,3150,3000,2928,2825,2800,2819,2800,2850,2800,2850,3000,3000,3200,3300,3560,3650,3800,3950,3995,4000,4100,4247,4250,4205,4414,4450,4500,4500,4500,4450,4450,4450,4495,4500,4495,4400,4500,4500,4500,4450,4363,4250,4285,4300,4413,4500,4500,4395,4450,4361,4399,4400,4295,4400,4450,4431
Utopia,Queens,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Van Nest,Bronx,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1313,1338,1338,1325,,1300,1338,1350,1338,1325,,,,,,,,,,,,,,,,,,,,,2100,2100,,,,,,,,,1400,1575,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wakefield,Bronx,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1450,1400,1400,1388,1338,1338,1200,1300,1375,1400,1370,1250,1250,1300,1300,1400,1400,1400,1450,1450,1450,1450,1450,1450,1450,1450,1450,1450,1395,1375,1425,1500,1700,1575,1450,1475,1475,1475,,1500,,,,,,,1450,1900,1900,1600,2050,2100,,1700,2200,2200,1899,1800,1700,1900,1900,2025,2199,,,,2195,1998,1900,,1825,,,,,,,1800,1950,1713,1775,1800,1850,2150,2100,1700,1800,1950,1998,,1650,,2050,2175,2500,,2550,2500,2200,,2500,2195,2218,2175,2163,1725,1615,,,1650,,2300,2425,,,,3464,,,,3400,3400,,,,3195,,2150
Washington Heights,Manhattan,neighborhood,1550,1545,1597,1600,1650,1653,1678,1750,1713,1750,1700,1768,1800,1750,1625,1700,1700,1650,1650,1800,1698,1695,1847,1847,1893,1844,1900,1745,1750,1750,1750,1775,1800,1800,1800,1800,1800,1800,1800,1800,1800,1847,1800,1800,1800,1750,1798,1786,1750,1750,1799,1800,1800,1850,1850,1950,1950,1950,1950,1900,1945,1900,1950,2000,2050,2000,2050,2100,2095,2000,2000,2050,2100,2100,2195,2195,2175,2150,2175,2195,2150,2200,2187,2245,2214,2150,2150,2200,2195,2195,2250,2200,2100,2185,2100,2100,2125,2135,2150,2150,2165,2200,2250,2250,2200,2235,2222,2195,2150,2200,2195,2195,2250,2300,2250,2250,2200,2200,2195,2200,2225,2250,2295,2253,2195,2250,2208,2195,2100,2100,2100,2000,2000,2000,2000,2050,2095,2125,2180,2198,2200,2200,2200,2250,2290,2295,2295,2300,2400,2534,2500,2430,2400,2450,2400,2400,2405,2495,2500,2550,2575,2600,2600,2600,2575,2550,2550,2575,2550,2600,2600,2650,2700,2750,2750,2700,2695,2650,2664,2650,2700,2700
West Harlem,Manhattan,neighborhood,,,1650,1775,1700,2000,1850,1800,,,1850,1900,2600,2600,2600,2550,2550,2550,2600,2575,,2450,2095,2200,1850,2250,2300,2400,2225,1995,1995,2400,2175,2200,1995,1950,1900,2000,2148,1995,2100,1925,2100,2175,1995,2125,2100,2150,2300,2200,2150,2300,2100,2100,2200,2100,2350,2250,2200,2350,2250,2200,2100,2200,2250,2600,2400,2438,2500,2300,2300,2295,2125,2150,2100,2295,2325,2712,2800,2600,2850,3000,2879,2600,2350,2498,2500,2500,2600,2583,2750,2698,2500,2550,2575,2600,2598,2623,2573,2775,2700,2650,2700,2800,2475,2497,2450,2392,2400,2369,2500,2585,2475,2695,2700,2600,2473,2461,2500,2495,2495,2600,2600,2500,2600,2550,2525,2295,2315,2295,2295,2280,2295,2293,2290,2300,2350,2300,2300,2500,2413,2300,2400,2468,2650,2625,2590,2687,2945,2898,3000,2850,2700,2600,2593,2600,2650,3075,3225,3218,3195,3025,3195,2950,2863,2788,2800,2900,2925,2995,3000,3148,2850,3500,3350,3079,2900,2800,2725,2900,2925,2900
West Village,Manhattan,neighborhood,3265,3395,3113,3250,3073,3138,3195,2963,3300,3300,3100,3300,3348,3400,3200,3450,3400,3495,3450,3500,3400,3300,3300,3300,3300,3400,3495,3495,3500,3400,3495,3495,3495,3500,3495,3600,3500,3350,3400,3495,3650,3650,3525,3550,3600,3600,3500,3650,3550,3630,3595,3666,3650,3595,3600,3598,3666,3625,3600,3645,3750,3713,3650,3600,3750,3750,3695,3750,3750,3850,3750,3860,3800,3805,3800,3895,3900,3950,3950,3895,3750,3665,3595,3565,3565,3595,3600,3680,3799,3800,3827,3795,3695,3573,3495,3498,3598,3600,3725,3795,3850,3825,3850,3900,3895,3805,3900,3850,3850,3800,3840,3965,4095,4250,4150,3995,3995,4100,4073,4114,4185,4100,4171,4125,3700,3648,3600,3482,3316,3234,3200,3150,3025,3195,3100,3250,3400,3500,3895,4198,4355,4425,4360,4495,4495,4595,4650,4799,4995,4900,5173,5000,5000,5255,5000,5000,5200,5200,5000,5100,5250,5195,5000,4950,4995,4973,5035,5100,5400,5400,5500,5548,5495,5250,5000,5000,5048,5200,5250,5438,5900,5763
Westchester Village,Bronx,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Whitestone,Queens,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,1850,1750,1800,,1775,,1900,1850,1900,1800,1900,1975,1938,1900,,,,,,,,,2400,2600,2200,1775,1825,1875,,,,2000,,,,2300,2250,2050,2000,,2275,,,,,2500,2375,2200,2300,2350,2250,2200,2400,2300,2523,2425,,,,2350,2350,2350,2400,2250,2200,2300,2300,2695,,,,,,,1798,2250,2200,2150,2200,,,2250,2100,2338,2375,2300,2300,2300,2250,2200,2300,2350,2350,2250,2400,2300,2300,2225,,,,,2425,2325,2675,2500,,,2400,,,,5995,,2200,2600,2699,,2350,2000,,2100,2200,2200,2675,2850,2675,2600,2700,2500,2500,2498,2350,2525,2500,2500,2700,2625,2600,,2175,2400,2300,2725,,,2825,3050,2525,2800,,2725,,2800,2600,2275,2495,2600
Williamsbridge,Bronx,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1300,,,,1300,1225,,,,1300,1300,1350,,,,1558,1558,,,,,,,,1625,,,,,,,2250,2175,1500,1950,1898,2023,,,,,,1588,,,,1663,1675,1763,,,2150,2125,2150,1750,2100,1550,1600,1797,1775,2025,1825,1925,2150,,1650,1688,1978,,,,,2050,1875,1850,,1850,,1750,1950,1950,1650,1675,1800,1975,1900,,,2400,,1500,,1848,1800,1800,2200,2225,2249,2249,1850,1773,2249,2249,,2300,2300,1795,2350,2150,2350,1898,,2900,2975,2600,2596,2750,2600,,,2600,2500,2473,,2588,2000,2000,2899
Williamsburg,Brooklyn,neighborhood,2500,2500,2500,2600,2625,2700,2775,2830,2900,2950,2800,2723,2800,2750,2763,2900,2900,2950,2900,2900,2973,3000,3000,2850,3032,3000,3000,3062,3150,3250,3200,3100,3325,3350,3350,3499,3400,3300,3200,3017,3125,3250,3200,3199,3185,3100,3100,2995,3000,3000,3071,3200,3200,3250,3250,3200,3200,3169,3050,3050,3050,3050,3070,3100,3150,3300,3385,3300,3200,3210,3250,3300,3275,3200,3100,3100,3195,3199,3195,3200,3150,3150,3100,3054,3000,3000,3050,3100,3145,3190,3115,3115,3100,3000,2966,2900,2900,2950,2950,2999,3000,3000,3000,3000,3000,2999,2900,2895,2995,3000,3000,3200,3299,3300,3450,3450,3500,3500,3600,3600,3500,3500,3499,3499,3307,3200,3151,3000,2900,2840,2800,2800,2795,2800,2810,2800,2850,3075,3400,3654,3800,3654,3750,3899,3800,3950,3815,4000,4000,4375,4408,4350,4400,4345,4150,4234,4250,4290,4300,4350,4450,4500,4500,4500,4500,4500,4300,4240,4322,4373,4400,4500,4550,4531,4600,4527,4527,4500,4450,4450,4479,4500
Windsor Terrace,Brooklyn,neighborhood,1550,1600,1650,1600,1800,1825,1995,2098,2100,2000,1850,1900,2200,2150,2013,2050,2000,2175,2400,2000,2300,2200,2400,2325,2325,2325,2350,2300,2200,2100,2100,2100,2000,2200,2200,1988,2200,2100,2100,2200,2300,2400,2250,2500,2700,2500,2500,2395,2200,2200,2400,2400,2400,2500,2400,2300,2350,2400,2472,2600,2700,2700,2637,2700,2700,2800,2800,2605,2600,2600,2469,2460,2485,2500,2500,2500,2544,2491,2400,2450,2592,2598,2550,2599,2500,2500,2400,2500,2650,2750,2600,2500,2500,2500,2400,2384,2400,2400,2475,2500,2500,2522,2600,2681,2643,2600,2700,2580,2600,2773,2750,2575,2650,2800,2500,2800,2800,2800,2495,2500,2500,2525,2695,2698,2590,2800,2722,2722,2700,2590,2750,2750,2750,2545,2700,2500,2200,2450,2650,2400,2713,2750,3050,2900,3000,2900,3000,3250,3125,3000,3455,3750,3425,3250,2875,2956,3000,3000,3200,3400,3355,3353,3400,3200,3250,3200,3075,3225,3000,3000,3000,3595,3685,3500,3500,3500,3765,3948,3850,3818,3781,3800
Woodhaven,Queens,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1400,,,1600,1575,1575,1700,1700,1700,1675,1735,1725,,,1650,1995,1613,1675,1675,,,,,,,1700,,,1625,1625,1595,1675,1750,1995,2100,1750,1700,1775,2000,1995,,2188,2000,2100,2175,1736,1650,1725,1900,1788,1725,1825,1850,1742,1746,1950,1950,1800,1750,1725,1750,1788,1788,1745,1800,1725,1800,1850,,,1850,1773,1838,2100,2000,1838,1923,2100,2000,1725,1713,2350,2350,1700,1697,1750,2350,2200,2250,2299,2200,2300,2300,2288,2450,2000,2400,2075,2075,2313,2399,2250,2299,2150,2500,2500,2450,2100,2100,2200,2700,2750,2750,2400,2400,2225,2500,2500,2675,2775,2825,2800,2575,2450,2250,2200,2250,2300
Woodlawn,Bronx,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1750,,,,1625,,,,,,,,,,,,,,,,,,,,,1650,,,,,,,,,,,,,,,,1700,,,,,,,,,,,,,,,,,,,2150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Woodside,Queens,neighborhood,1700,1648,1398,2000,1500,1513,1488,,,,,1350,,,1550,1550,1550,1450,1550,1550,1550,,1550,,,,,,,1600,1600,1550,1550,1550,,1550,1550,,1550,1550,,,1700,1700,1600,1600,1600,1700,1700,1750,1750,1750,1750,1875,1900,1750,1863,1900,2000,1850,1950,2150,1900,1800,1800,1913,1800,1800,1850,1700,1900,1900,1925,1825,1800,1825,1800,1975,1975,1900,1800,1800,1900,2025,1850,1900,1900,1900,1795,2040,2100,2050,2100,2000,1900,1985,1800,1775,1950,1975,1995,2050,1775,1865,1999,1879,1945,1895,1875,1850,1900,1900,1995,1998,2000,2000,2000,1890,2000,2075,1895,2098,2200,2000,1850,1975,1950,2000,1900,1899,1875,1850,1800,1800,1750,1750,1800,1852,1850,1900,2060,2000,1899,1875,2000,1950,2050,1926,1950,2200,2250,2250,2400,2330,2225,2278,2300,2400,2300,2500,2500,2700,2675,2813,2700,2960,3050,2775,2700,2700,2700,2664,2700,2980,3065,3058,3000,2985,2902,2950,2950,2950
Woodstock,Bronx,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,988,,,,,,,,,,,,,,,,,,,,,,,,,,,1825,2200,,1650,,1920,,,,1790,,,,,2225,2240,2155,1650,1787,2250,1950,1950,1790,2200,2025,,1950,1945,1948,1645,1888,1875,1888,1950,,1950,1950,1950,,,,1945,1971,1600,1825,1987,1963,1850,1558,1375,1800,2061,1838,1900,1800,1975,1725,1850,1875,1950,1950,,1975,1950,,1950,1800,1625,1800,2100,2000,1963,2125,2400,2500,2150,2600,2500,,,,2625,,,2740,3100,,,,2763,2550,3050,,,,1900,1900
